"state","demographic_records","eviction_records","joined_records"
"06",394604,394604,394616
"48",268642,268787,268787
"36",262882,262888,263122
"12",194514,194514,194514
"42",165580,165580,165580
"17",164747,164747,164747
"39",157046,157046,157046
"26",139445,139485,139485
"34",107440,107440,107440
"37",104635,104635,104635
"13",94061,94061,94061
"51",90624,90644,90674
"25",84740,84745,84745
"18",81838,81838,81838
"53",81311,81311,81311
"29",76602,76602,76602
"55",76313,76313,76313
"04",71026,71026,71104
"47",70125,70125,70125
"27",69847,69887,69887
"24",66712,66742,66742
"08",59934,60044,60044
"22",59007,59007,59007
"01",58376,58446,58446
"21",55845,55845,55845
"45",52003,52003,52003
"40",50405,50405,50405
"41",44778,44778,44778
"19",44045,44710,44710
"09",43945,43945,43945
"20",39967,39967,39967
"28",36788,36788,36788
"05",36499,36499,36499
"32",31212,31212,31212
"49",28730,28730,28730
"31",27761,27761,27761
"54",27064,27064,27064
"35",24633,24633,24633
"23",18462,18462,18462
"16",16371,16371,16371
"33",15674,15674,15674
"15",14875,14875,14875
"30",14314,14314,14314
"44",13855,13855,13855
"46",11118,11118,11118
"10",9758,9758,9758
"38",9724,9724,9724
"02",8988,9078,9078
"50",8874,8874,8874
"11",7650,7650,7650
"56",6970,6970,6970
