"state","demographic_records","eviction_records","joined_records"
"01",9023,9826,9925
"02",5960,6035,6086
"04",5657,7667,7794
"05",8977,9197,9218
"06",21390,25891,26160
"08",6736,7786,7854
"09",2210,2414,2426
"10",1288,1292,1298
"11",17,17,17
"12",15043,15640,16177
"13",10329,10608,10683
"15",2367,2567,2597
"16",3634,3859,3871
"17",22760,23239,23265
"18",10765,11577,11612
"19",16587,17153,17158
"20",11002,11407,11428
"21",8333,8908,9137
"22",7307,8041,8087
"23",2021,2227,2273
"24",7306,8806,9046
"25",4070,4148,4245
"26",11134,11764,11936
"27",15004,15402,15423
"28",5814,6154,6164
"29",16990,17544,17588
"30",5298,6188,6210
"31",9425,9860,9881
"32",1620,2193,2251
"33",1278,1632,1638
"34",8865,9265,9739
"35",5441,7531,7608
"36",18880,20213,20389
"37",11738,12563,12624
"38",6517,6817,6832
"39",19014,20468,20695
"40",12106,12461,12630
"41",5734,6409,6452
"42",26351,29988,30539
"44",520,578,630
"45",6451,6715,6752
"46",6246,6630,6652
"47",6822,7276,7328
"48",27354,29784,30050
"49",5186,5542,5613
"50",1525,2023,2057
"51",7859,10047,10123
"53",9565,10676,11068
"54",5641,6817,6851
"55",11750,13141,13219
"56",3412,3451,3573
