"state","demographic_records","eviction_records","joined_records"
"13",17,17,17
"27",17,17,17
"44",17,17,17
"12",17,17,17
"17",17,17,17
"55",17,17,17
"50",17,17,17
"01",17,17,17
"47",17,17,17
"02",17,17,17
"29",17,17,17
"53",17,17,17
"15",17,17,17
"49",17,17,17
"24",17,17,17
"56",17,17,17
"48",17,17,17
"10",17,17,17
"35",17,17,17
"54",17,17,17
"31",17,17,17
"30",17,17,17
"45",17,17,17
"38",17,17,17
"41",17,17,17
"25",17,17,17
"19",17,17,17
"20",17,17,17
"37",17,17,17
"51",17,17,17
"18",17,17,17
"40",17,17,17
"11",17,17,17
"22",17,17,17
"42",17,17,17
"28",17,17,17
"06",17,17,17
"16",17,17,17
"23",17,17,17
"08",17,17,17
"33",17,17,17
"34",17,17,17
"39",17,17,17
"21",17,17,17
"09",17,17,17
"26",17,17,17
"32",17,17,17
"36",17,17,17
"05",17,17,17
"46",17,17,17
"04",17,17,17
