"state","demographic_records","eviction_records","joined_records"
"01",1139,1139,1139
"02",483,493,493
"04",255,255,255
"05",1275,1275,1275
"06",986,986,986
"08",1083,1088,1088
"09",136,136,136
"10",51,51,51
"11",17,17,17
"12",1139,1139,1139
"13",2703,2703,2703
"15",85,85,85
"16",748,748,748
"17",1734,1734,1734
"18",1564,1564,1564
"19",1683,1683,1683
"20",1785,1785,1785
"21",2040,2040,2040
"22",1088,1088,1088
"23",272,272,272
"24",408,408,408
"25",238,238,238
"26",1411,1411,1411
"27",1479,1479,1479
"28",1394,1394,1394
"29",1955,1955,1955
"30",952,952,952
"31",1581,1581,1581
"32",289,289,289
"33",170,170,170
"34",357,357,357
"35",561,561,561
"36",1054,1054,1054
"37",1700,1700,1700
"38",901,901,901
"39",1496,1496,1496
"40",1309,1309,1309
"41",612,612,612
"42",1139,1139,1139
"44",85,85,85
"45",782,782,782
"46",1122,1122,1122
"47",1615,1615,1615
"48",4318,4318,4318
"49",493,493,493
"50",238,238,238
"51",2277,2278,2283
"53",663,663,663
"54",935,935,935
"55",1224,1224,1224
"56",391,391,391
