"state","demographic_records","eviction_records","joined_records"
"06",136969,136969,136975
"48",89450,89505,89505
"36",83617,83623,83695
"12",72165,72165,72165
"42",54706,54706,54706
"17",53091,53091,53091
"39",50184,50184,50184
"26",47806,47821,47821
"37",37315,37315,37315
"34",34170,34170,34170
"13",33473,33473,33473
"51",32419,32419,32425
"04",25942,25942,25984
"18",25687,25687,25687
"47",25449,25449,25449
"25",25126,25126,25126
"53",24786,24786,24786
"55",23953,23953,23953
"24",23892,23902,23902
"29",23681,23681,23681
"27",22731,22746,22746
"08",21203,21233,21233
"01",20062,20077,20077
"22",19516,19516,19516
"21",18955,18955,18955
"45",18751,18751,18751
"40",17782,17782,17782
"41",14178,14178,14178
"09",14161,14161,14161
"19",13845,14025,14025
"20",13090,13090,13090
"32",11679,11679,11679
"05",11662,11662,11662
"28",11288,11288,11288
"49",9996,9996,9996
"31",9044,9044,9044
"35",8483,8483,8483
"54",8228,8228,8228
"23",6086,6086,6086
"15",5967,5967,5967
"16",5066,5066,5066
"33",5015,5015,5015
"30",4607,4607,4607
"44",4148,4148,4148
"46",3774,3774,3774
"10",3706,3706,3706
"38",3485,3485,3485
"50",3128,3128,3128
"11",3043,3043,3043
"02",2819,2839,2839
"56",2244,2244,2244
