"location","total","missing","missing_percent"
"Alabama",1139,64,0.056189640035118525
"Alaska",493,493,1.0
"Arizona",255,99,0.38823529411764707
"Arkansas",1275,1275,1.0
"California",986,238,0.2413793103448276
"Colorado",1088,187,0.171875
"Connecticut",136,85,0.625
"Delaware",51,1,0.0196078431372549
"District of Columbia",17,9,0.5294117647058824
"Florida",1139,212,0.1861281826163301
"Georgia",2703,651,0.24084350721420644
"Hawaii",85,47,0.5529411764705883
"Idaho",748,63,0.08422459893048129
"Illinois",1734,108,0.06228373702422145
"Indiana",1564,265,0.1694373401534527
"Iowa",1683,87,0.05169340463458111
"Kansas",1785,40,0.022408963585434174
"Kentucky",2040,393,0.19264705882352942
"Louisiana",1088,521,0.4788602941176471
"Maine",272,27,0.09926470588235294
"Maryland",408,318,0.7794117647058824
"Massachusetts",238,76,0.31932773109243695
"Michigan",1411,179,0.1268603827072998
"Minnesota",1479,320,0.21636240703177823
"Mississippi",1394,238,0.17073170731707318
"Missouri",1955,139,0.0710997442455243
"Montana",952,88,0.09243697478991597
"Nebraska",1581,127,0.08032890575585072
"Nevada",289,57,0.1972318339100346
"New Hampshire",170,91,0.5352941176470588
"New Jersey",357,27,0.07563025210084033
"New Mexico",561,111,0.19786096256684493
"New York",1054,682,0.6470588235294118
"North Carolina",1700,201,0.11823529411764706
"North Dakota",901,901,1.0
"Ohio",1496,116,0.07754010695187166
"Oklahoma",1309,67,0.05118411000763942
"Oregon",612,32,0.05228758169934641
"Pennsylvania",1139,17,0.014925373134328358
"Rhode Island",85,55,0.6470588235294118
"South Carolina",782,452,0.578005115089514
"South Dakota",1122,1122,1.0
"Tennessee",1615,379,0.2346749226006192
"Texas",4318,739,0.1711440481704493
"Utah",493,34,0.06896551724137931
"Vermont",238,42,0.17647058823529413
"Virginia",2283,189,0.08278580814717477
"Washington",663,161,0.24283559577677225
"West Virginia",935,164,0.1754010695187166
"Wisconsin",1224,28,0.02287581699346405
"Wyoming",391,120,0.3069053708439898
