"location","total","missing","missing_percent"
"Alaska",17,17.0,1.0
"Arkansas",17,17.0,1.0
"Connecticut",17,1.0,0.058823529411764705
"District of Columbia",17,9.0,0.5294117647058824
"Massachusetts",17,1.0,0.058823529411764705
"New Hampshire",17,4.0,0.23529411764705882
"New Jersey",17,1.0,0.058823529411764705
"North Dakota",17,17.0,1.0
"Rhode Island",17,6.0,0.35294117647058826
"South Carolina",17,9.0,0.5294117647058824
"South Dakota",17,17.0,1.0
