"location","total","missing","missing_percent"
"Alabama",58480,9309,0.15918262653898768
"Alaska",8687,8687,1.0
"Arizona",71155,37050,0.520694259012016
"Arkansas",36652,36550,0.9972170686456401
"California",394633,89951,0.22793582898541176
"Colorado",60163,28121,0.46741352658610774
"Connecticut",43945,18766,0.42703379224030036
"Delaware",9758,1205,0.12348841975814716
"District of Columbia",7667,4352,0.5676274944567627
"Florida",194514,37216,0.1913281306229886
"Georgia",94078,28302,0.30083547694466295
"Hawaii",14875,10097,0.6787899159663866
"Idaho",16439,2657,0.16162783624308047
"Illinois",164832,22137,0.13430037856726848
"Indiana",81838,21703,0.26519465285075394
"Iowa",44727,6701,0.14982001922775953
"Kansas",40001,5185,0.1296217594560136
"Kentucky",55879,17428,0.311888186975429
"Louisiana",59058,24153,0.40897084222289953
"Maine",18462,3242,0.17560394323475245
"Maryland",66810,51906,0.7769196228109564
"Massachusetts",84745,36225,0.4274588471296242
"Michigan",139502,31770,0.2277386704133274
"Minnesota",69887,21055,0.3012720534577246
"Mississippi",36720,11168,0.30413943355119827
"Missouri",76517,12140,0.15865755322346667
"Montana",14297,3903,0.27299433447576416
"Nebraska",27710,4510,0.16275712739083364
"Nevada",31178,8016,0.2571043684649432
"New Hampshire",15674,9112,0.5813449023861171
"New Jersey",107474,21885,0.20363064555148222
"New Mexico",24633,7225,0.29330572808833677
"New York",263156,167117,0.6350491723540409
"North Carolina",104669,24955,0.2384182518224116
"North Dakota",9775,9775,1.0
"Ohio",157063,24495,0.15595652699872026
"Oklahoma",50405,4859,0.09639916674933043
"Oregon",44761,3970,0.08869328209825518
"Pennsylvania",165529,17517,0.10582435706130043
"Rhode Island",13855,8261,0.5962468422952003
"South Carolina",52003,35132,0.6755764090533238
"South Dakota",10914,10914,1.0
"Tennessee",70040,18487,0.2639491719017704
"Texas",268668,63095,0.2348437476737088
"Utah",28645,7049,0.24608134054808867
"Vermont",8874,3217,0.3625197205318909
"Virginia",90538,20323,0.22446928361571936
"Washington",81311,19028,0.23401507791073778
"West Virginia",26928,9310,0.34573677956030896
"Wisconsin",76279,6649,0.08716684801845856
"Wyoming",6902,2607,0.3777166038829325
